process,check,covered_by_G0,sensor,predicted_effect,predicted_below_0.90_on,known,reason
optics: defocus,forbidden_value,partly,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 applies a fixed Gaussian blur of radius 0.4 px and never varies it. X2 is captured in focus by the phone's autofocus; the Augraphy list of the plan adds no defocus. For this check, defocus leaves 999-99-9999 readable above 0.7214."
optics: defocus,resolution,partly,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"The dpi estimate reads the page height in pixels, never sharpness: a blurred capture is not flagged as low resolution. No variant tests that, so no recall moves."
optics: defocus,cropped_page,partly,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 applies a fixed Gaussian blur of radius 0.4 px and never varies it. X2 is captured in focus by the phone's autofocus; the Augraphy list of the plan adds no defocus. For this check, defocus does not shrink the registered frame extent."
optics: defocus,rotated_page,partly,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 applies a fixed Gaussian blur of radius 0.4 px and never varies it. X2 is captured in focus by the phone's autofocus; the Augraphy list of the plan adds no defocus. For this check, defocus does not change which quarter turn registers best."
optics: perspective,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,miss,X2,false,"Same mechanism as curl: a residual 2 to 4 px offset brings pre-printed line ink into the zone (measured on the blank render: +2.56% at 2 px on the W-9 name field, +2.6% at 4 px on I-9 fields), so an unmarked emptied field reads filled."
optics: perspective,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,miss,X2,false,Same mechanism as curl: a 4 to 5 px residual puts the box outline in the scan's disc.
optics: perspective,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,miss,X2,false,Same mechanism as curl: the signature line enters the band as a long added strip.
optics: perspective,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"G0 has no perspective. Notes' document mode rectifies the page from its four corners, leaving a residual perspective and lens distortion that the global similarity registration cannot remove. For this check, perspective leaves the 8 printed digits of the date readable."
optics: perspective,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 has no perspective. Notes' document mode rectifies the page from its four corners, leaving a residual perspective and lens distortion that the global similarity registration cannot remove. For this check, perspective leaves the street name tokens readable on both pieces."
optics: perspective,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 has no perspective. Notes' document mode rectifies the page from its four corners, leaving a residual perspective and lens distortion that the global similarity registration cannot remove. For this check, perspective leaves 999-99-9999 readable above 0.7214."
optics: perspective,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 has no perspective. Notes' document mode rectifies the page from its four corners, leaving a residual perspective and lens distortion that the global similarity registration cannot remove. For this check, perspective does not bias the height-based scale estimate by 1%."
optics: perspective,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 has no perspective. Notes' document mode rectifies the page from its four corners, leaving a residual perspective and lens distortion that the global similarity registration cannot remove. For this check, perspective does not shrink the registered frame extent."
optics: perspective,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 has no perspective. Notes' document mode rectifies the page from its four corners, leaving a residual perspective and lens distortion that the global similarity registration cannot remove. For this check, perspective does not change which quarter turn registers best."
sampling: dpi,required_field,yes,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"G0 varies dpi over 96, 150, 200 and 300; A3 uses 150, 200 and 300 and X2 phone PDFs are rendered at 300. For this check, dpi adds or moves no dark pixel inside an emptied field relative to the blank."
sampling: dpi,required_checkbox,yes,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"G0 varies dpi over 96, 150, 200 and 300; A3 uses 150, 200 and 300 and X2 phone PDFs are rendered at 300. For this check, dpi puts no dark pixel in a box's central disc that the blank lacks."
sampling: dpi,signature,yes,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"G0 varies dpi over 96, 150, 200 and 300; A3 uses 150, 200 and 300 and X2 phone PDFs are rendered at 300. For this check, dpi leaves no added component over 342 px in the band and does not break the synthetic stroke."
sampling: dpi,expiry,yes,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"G0 varies dpi over 96, 150, 200 and 300; A3 uses 150, 200 and 300 and X2 phone PDFs are rendered at 300. For this check, dpi leaves the 8 printed digits of the date readable."
sampling: dpi,consistency,yes,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 varies dpi over 96, 150, 200 and 300; A3 uses 150, 200 and 300 and X2 phone PDFs are rendered at 300. For this check, dpi leaves the street name tokens readable on both pieces."
sampling: dpi,forbidden_value,yes,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 varies dpi over 96, 150, 200 and 300; A3 uses 150, 200 and 300 and X2 phone PDFs are rendered at 300. For this check, dpi leaves 999-99-9999 readable above 0.7214."
sampling: dpi,resolution,yes,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,false_alarm,A3,false,"At the 150 dpi cells the estimate has 1% of margin (threshold 148.5). Any Augraphy augmentation that changes the page's apparent height or its ink map (Folding, BindingsAndFasteners, a page border if drawn) biases the scale by more than 1% on some pages, which then read below the floor; the reading checks abstain on those pieces, which also costs expiry, consistency and forbidden_value recall."
sampling: dpi,cropped_page,yes,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 varies dpi over 96, 150, 200 and 300; A3 uses 150, 200 and 300 and X2 phone PDFs are rendered at 300. For this check, dpi does not shrink the registered frame extent."
sampling: dpi,rotated_page,yes,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 varies dpi over 96, 150, 200 and 300; A3 uses 150, 200 and 300 and X2 phone PDFs are rendered at 300. For this check, dpi does not change which quarter turn registers best."
sampling: JPEG,required_field,yes,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"G0 varies JPEG quality over 30, 55, 75 and 95 (A1 and A2 keep only 95 after the cap cut, but the shipped thresholds were chosen over all four); Notes' PDF compression is milder than quality 30. For this check, JPEG adds or moves no dark pixel inside an emptied field relative to the blank."
sampling: JPEG,required_checkbox,yes,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"G0 varies JPEG quality over 30, 55, 75 and 95 (A1 and A2 keep only 95 after the cap cut, but the shipped thresholds were chosen over all four); Notes' PDF compression is milder than quality 30. For this check, JPEG puts no dark pixel in a box's central disc that the blank lacks."
sampling: JPEG,signature,yes,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"G0 varies JPEG quality over 30, 55, 75 and 95 (A1 and A2 keep only 95 after the cap cut, but the shipped thresholds were chosen over all four); Notes' PDF compression is milder than quality 30. For this check, JPEG leaves no added component over 342 px in the band and does not break the synthetic stroke."
sampling: JPEG,expiry,yes,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"G0 varies JPEG quality over 30, 55, 75 and 95 (A1 and A2 keep only 95 after the cap cut, but the shipped thresholds were chosen over all four); Notes' PDF compression is milder than quality 30. For this check, JPEG leaves the 8 printed digits of the date readable."
sampling: JPEG,consistency,yes,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 varies JPEG quality over 30, 55, 75 and 95 (A1 and A2 keep only 95 after the cap cut, but the shipped thresholds were chosen over all four); Notes' PDF compression is milder than quality 30. For this check, JPEG leaves the street name tokens readable on both pieces."
sampling: JPEG,forbidden_value,yes,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 varies JPEG quality over 30, 55, 75 and 95 (A1 and A2 keep only 95 after the cap cut, but the shipped thresholds were chosen over all four); Notes' PDF compression is milder than quality 30. For this check, JPEG leaves 999-99-9999 readable above 0.7214."
sampling: JPEG,resolution,yes,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 varies JPEG quality over 30, 55, 75 and 95 (A1 and A2 keep only 95 after the cap cut, but the shipped thresholds were chosen over all four); Notes' PDF compression is milder than quality 30. For this check, JPEG does not bias the height-based scale estimate by 1%."
sampling: JPEG,cropped_page,yes,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 varies JPEG quality over 30, 55, 75 and 95 (A1 and A2 keep only 95 after the cap cut, but the shipped thresholds were chosen over all four); Notes' PDF compression is milder than quality 30. For this check, JPEG does not shrink the registered frame extent."
sampling: JPEG,rotated_page,yes,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 varies JPEG quality over 30, 55, 75 and 95 (A1 and A2 keep only 95 after the cap cut, but the shipped thresholds were chosen over all four); Notes' PDF compression is milder than quality 30. For this check, JPEG does not change which quarter turn registers best."
sampling: phone auto-enhancement,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,miss,X2,false,"The filter darkens and thickens printed lines. The ink sensor subtracts COUNTS of dark pixels, and the blank render holds 2.2 to 6.3% line ink inside the Cerfa fields and 6.4 to 8.4% inside the W-9 TIN boxes: a 10% thickening adds 0.2 to 0.8%, around and above 0.345%, so those emptied fields read filled. The I-9 fields hold no pre-printed ink and are unaffected by this route (curl and perspective still apply). The filter is also predicted to erase the light pencil of steps 1 and 3."
sampling: phone auto-enhancement,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,A tick reads +21 to +28 against a 14.4 threshold and the filter darkens it further; an outline thickened by 1 to 2 px still stays outside the 6.6 px disc.
sampling: phone auto-enhancement,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"Only X2 goes through Apple Notes' document filter (contrast, sharpening, background flattening). G0 and Augraphy never do. For this check, phone auto-enhancement leaves no added component over 342 px in the band and does not break the synthetic stroke."
sampling: phone auto-enhancement,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"Only X2 goes through Apple Notes' document filter (contrast, sharpening, background flattening). G0 and Augraphy never do. For this check, phone auto-enhancement leaves the 8 printed digits of the date readable."
sampling: phone auto-enhancement,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"Only X2 goes through Apple Notes' document filter (contrast, sharpening, background flattening). G0 and Augraphy never do. For this check, phone auto-enhancement leaves the street name tokens readable on both pieces."
sampling: phone auto-enhancement,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"Only X2 goes through Apple Notes' document filter (contrast, sharpening, background flattening). G0 and Augraphy never do. For this check, phone auto-enhancement leaves 999-99-9999 readable above 0.7214."
sampling: phone auto-enhancement,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"Only X2 goes through Apple Notes' document filter (contrast, sharpening, background flattening). G0 and Augraphy never do. For this check, phone auto-enhancement does not bias the height-based scale estimate by 1%."
sampling: phone auto-enhancement,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"Only X2 goes through Apple Notes' document filter (contrast, sharpening, background flattening). G0 and Augraphy never do. For this check, phone auto-enhancement does not shrink the registered frame extent."
sampling: phone auto-enhancement,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"Only X2 goes through Apple Notes' document filter (contrast, sharpening, background flattening). G0 and Augraphy never do. For this check, phone auto-enhancement does not change which quarter turn registers best."
geometry: rotation,required_field,yes,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"G0 rotates by 0 to 4 degrees and a quarter turn in the rotated variant; deskew searches 6 degrees either way. Notes straightens X2 pages; the X2 rotated variant is a real quarter turn on the table, which Notes is predicted to keep as captured. For this check, rotation adds or moves no dark pixel inside an emptied field relative to the blank."
geometry: rotation,required_checkbox,yes,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"G0 rotates by 0 to 4 degrees and a quarter turn in the rotated variant; deskew searches 6 degrees either way. Notes straightens X2 pages; the X2 rotated variant is a real quarter turn on the table, which Notes is predicted to keep as captured. For this check, rotation puts no dark pixel in a box's central disc that the blank lacks."
geometry: rotation,signature,yes,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"G0 rotates by 0 to 4 degrees and a quarter turn in the rotated variant; deskew searches 6 degrees either way. Notes straightens X2 pages; the X2 rotated variant is a real quarter turn on the table, which Notes is predicted to keep as captured. For this check, rotation leaves no added component over 342 px in the band and does not break the synthetic stroke."
geometry: rotation,expiry,yes,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"G0 rotates by 0 to 4 degrees and a quarter turn in the rotated variant; deskew searches 6 degrees either way. Notes straightens X2 pages; the X2 rotated variant is a real quarter turn on the table, which Notes is predicted to keep as captured. For this check, rotation leaves the 8 printed digits of the date readable."
geometry: rotation,consistency,yes,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 rotates by 0 to 4 degrees and a quarter turn in the rotated variant; deskew searches 6 degrees either way. Notes straightens X2 pages; the X2 rotated variant is a real quarter turn on the table, which Notes is predicted to keep as captured. For this check, rotation leaves the street name tokens readable on both pieces."
geometry: rotation,forbidden_value,yes,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 rotates by 0 to 4 degrees and a quarter turn in the rotated variant; deskew searches 6 degrees either way. Notes straightens X2 pages; the X2 rotated variant is a real quarter turn on the table, which Notes is predicted to keep as captured. For this check, rotation leaves 999-99-9999 readable above 0.7214."
geometry: rotation,resolution,yes,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 rotates by 0 to 4 degrees and a quarter turn in the rotated variant; deskew searches 6 degrees either way. Notes straightens X2 pages; the X2 rotated variant is a real quarter turn on the table, which Notes is predicted to keep as captured. For this check, rotation does not bias the height-based scale estimate by 1%."
geometry: rotation,cropped_page,yes,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 rotates by 0 to 4 degrees and a quarter turn in the rotated variant; deskew searches 6 degrees either way. Notes straightens X2 pages; the X2 rotated variant is a real quarter turn on the table, which Notes is predicted to keep as captured. For this check, rotation does not shrink the registered frame extent."
geometry: rotation,rotated_page,yes,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 rotates by 0 to 4 degrees and a quarter turn in the rotated variant; deskew searches 6 degrees either way. Notes straightens X2 pages; the X2 rotated variant is a real quarter turn on the table, which Notes is predicted to keep as captured. For this check, rotation does not change which quarter turn registers best."
geometry: crop,required_field,yes,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"G0's cropped variant cuts 18% off the bottom of the IMAGE; that is the only crop the check can see. For this check, crop adds or moves no dark pixel inside an emptied field relative to the blank."
geometry: crop,required_checkbox,yes,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"G0's cropped variant cuts 18% off the bottom of the IMAGE; that is the only crop the check can see. For this check, crop puts no dark pixel in a box's central disc that the blank lacks."
geometry: crop,signature,yes,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"G0's cropped variant cuts 18% off the bottom of the IMAGE; that is the only crop the check can see. For this check, crop leaves no added component over 342 px in the band and does not break the synthetic stroke."
geometry: crop,expiry,yes,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"G0's cropped variant cuts 18% off the bottom of the IMAGE; that is the only crop the check can see. For this check, crop leaves the 8 printed digits of the date readable."
geometry: crop,consistency,yes,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0's cropped variant cuts 18% off the bottom of the IMAGE; that is the only crop the check can see. For this check, crop leaves the street name tokens readable on both pieces."
geometry: crop,forbidden_value,yes,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0's cropped variant cuts 18% off the bottom of the IMAGE; that is the only crop the check can see. For this check, crop leaves 999-99-9999 readable above 0.7214."
geometry: crop,resolution,yes,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0's cropped variant cuts 18% off the bottom of the IMAGE; that is the only crop the check can see. For this check, crop does not bias the height-based scale estimate by 1%."
geometry: crop,cropped_page,yes,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,miss,X2,false,"Coverage is the share of the blank's ink inside the registered frame EXTENT, not the share visible in the scan. In X2 the bottom fifth is covered by a blank sheet: the captured image keeps the page's full size (white paper where the form is hidden), the frame spans the whole blank, coverage stays near 1.0 and the check does not fire."
geometry: crop,rotated_page,yes,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0's cropped variant cuts 18% off the bottom of the IMAGE; that is the only crop the check can see. For this check, crop does not change which quarter turn registers best."
geometry: translation,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"G0 never translates the page (A2's jitter adds up to 3 px). Registration solves translation globally by cross-correlation before any zone is read, so a pure translation moves nothing relative to the blank. For this check, translation adds or moves no dark pixel inside an emptied field relative to the blank."
geometry: translation,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"G0 never translates the page (A2's jitter adds up to 3 px). Registration solves translation globally by cross-correlation before any zone is read, so a pure translation moves nothing relative to the blank. For this check, translation puts no dark pixel in a box's central disc that the blank lacks."
geometry: translation,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"G0 never translates the page (A2's jitter adds up to 3 px). Registration solves translation globally by cross-correlation before any zone is read, so a pure translation moves nothing relative to the blank. For this check, translation leaves no added component over 342 px in the band and does not break the synthetic stroke."
geometry: translation,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"G0 never translates the page (A2's jitter adds up to 3 px). Registration solves translation globally by cross-correlation before any zone is read, so a pure translation moves nothing relative to the blank. For this check, translation leaves the 8 printed digits of the date readable."
geometry: translation,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 never translates the page (A2's jitter adds up to 3 px). Registration solves translation globally by cross-correlation before any zone is read, so a pure translation moves nothing relative to the blank. For this check, translation leaves the street name tokens readable on both pieces."
geometry: translation,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 never translates the page (A2's jitter adds up to 3 px). Registration solves translation globally by cross-correlation before any zone is read, so a pure translation moves nothing relative to the blank. For this check, translation leaves 999-99-9999 readable above 0.7214."
geometry: translation,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 never translates the page (A2's jitter adds up to 3 px). Registration solves translation globally by cross-correlation before any zone is read, so a pure translation moves nothing relative to the blank. For this check, translation does not bias the height-based scale estimate by 1%."
geometry: translation,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 never translates the page (A2's jitter adds up to 3 px). Registration solves translation globally by cross-correlation before any zone is read, so a pure translation moves nothing relative to the blank. For this check, translation does not shrink the registered frame extent."
geometry: translation,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 never translates the page (A2's jitter adds up to 3 px). Registration solves translation globally by cross-correlation before any zone is read, so a pure translation moves nothing relative to the blank. For this check, translation does not change which quarter turn registers best."
content: identity,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"G0 at v0.1.0 has one fictional person; A1 to A3 carry six and X2 four. Names, addresses and numbers change string lengths and glyphs, not the geometry of the zones. For this check, identity adds or moves no dark pixel inside an emptied field relative to the blank."
content: identity,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"G0 at v0.1.0 has one fictional person; A1 to A3 carry six and X2 four. Names, addresses and numbers change string lengths and glyphs, not the geometry of the zones. For this check, identity puts no dark pixel in a box's central disc that the blank lacks."
content: identity,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"G0 at v0.1.0 has one fictional person; A1 to A3 carry six and X2 four. Names, addresses and numbers change string lengths and glyphs, not the geometry of the zones. For this check, identity leaves no added component over 342 px in the band and does not break the synthetic stroke."
content: identity,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"G0 at v0.1.0 has one fictional person; A1 to A3 carry six and X2 four. Names, addresses and numbers change string lengths and glyphs, not the geometry of the zones. For this check, identity leaves the 8 printed digits of the date readable."
content: identity,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"Different street names change which token is worst, but printed Helvetica stays readable; covered by A1 and by P6, not predicted to fail on A3 or X2 on account of identity."
content: identity,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 at v0.1.0 has one fictional person; A1 to A3 carry six and X2 four. Names, addresses and numbers change string lengths and glyphs, not the geometry of the zones. For this check, identity leaves 999-99-9999 readable above 0.7214."
content: identity,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 at v0.1.0 has one fictional person; A1 to A3 carry six and X2 four. Names, addresses and numbers change string lengths and glyphs, not the geometry of the zones. For this check, identity does not bias the height-based scale estimate by 1%."
content: identity,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 at v0.1.0 has one fictional person; A1 to A3 carry six and X2 four. Names, addresses and numbers change string lengths and glyphs, not the geometry of the zones. For this check, identity does not shrink the registered frame extent."
content: identity,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 at v0.1.0 has one fictional person; A1 to A3 carry six and X2 four. Names, addresses and numbers change string lengths and glyphs, not the geometry of the zones. For this check, identity does not change which quarter turn registers best."
content: handwriting in fields,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"No source in this study writes a field by hand: G0, A3 and the X2 kit all print the values with the same Helvetica overlay. Reported as an untested condition in the limits. For this check, handwriting in fields adds or moves no dark pixel inside an emptied field relative to the blank."
content: handwriting in fields,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"No source in this study writes a field by hand: G0, A3 and the X2 kit all print the values with the same Helvetica overlay. Reported as an untested condition in the limits. For this check, handwriting in fields puts no dark pixel in a box's central disc that the blank lacks."
content: handwriting in fields,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"No source in this study writes a field by hand: G0, A3 and the X2 kit all print the values with the same Helvetica overlay. Reported as an untested condition in the limits. For this check, handwriting in fields leaves no added component over 342 px in the band and does not break the synthetic stroke."
content: handwriting in fields,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",miss,none,false,Tesseract on a handwritten date would rarely return exactly 8 digits and the check would abstain; not exercised by any source.
content: handwriting in fields,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,false_alarm,none,false,Handwritten tokens read poorly would diverge between two pieces; not exercised.
content: handwriting in fields,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,miss,none,false,A handwritten 999-99-9999 read poorly falls under 0.7214; not exercised.
content: handwriting in fields,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"No source in this study writes a field by hand: G0, A3 and the X2 kit all print the values with the same Helvetica overlay. Reported as an untested condition in the limits. For this check, handwriting in fields does not bias the height-based scale estimate by 1%."
content: handwriting in fields,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"No source in this study writes a field by hand: G0, A3 and the X2 kit all print the values with the same Helvetica overlay. Reported as an untested condition in the limits. For this check, handwriting in fields does not shrink the registered frame extent."
content: handwriting in fields,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"No source in this study writes a field by hand: G0, A3 and the X2 kit all print the values with the same Helvetica overlay. Reported as an untested condition in the limits. For this check, handwriting in fields does not change which quarter turn registers best."
content: hand signatures,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"G0 draws one continuous vector stroke per signature (fixed seed 11 at v0.1.0, seeded by identity after T08). Only X2 carries real signatures. For this check, hand signatures adds or moves no dark pixel inside an emptied field relative to the blank."
content: hand signatures,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"G0 draws one continuous vector stroke per signature (fixed seed 11 at v0.1.0, seeded by identity after T08). Only X2 carries real signatures. For this check, hand signatures puts no dark pixel in a box's central disc that the blank lacks."
content: hand signatures,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,false_alarm,X2,false,"The synthetic stroke spans about 76% of the 898 px band (about 680 px diagonal), twice the 342 px threshold. The band is 36 px (4.6 mm) tall: a real signature leaves it at the top and bottom, so the pixels inside the window break into several components, and the largest one's diagonal is predicted under 342 px (1.7 inch) on more than 10% of signed I-9 captures, which then read as unsigned."
content: hand signatures,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"G0 draws one continuous vector stroke per signature (fixed seed 11 at v0.1.0, seeded by identity after T08). Only X2 carries real signatures. For this check, hand signatures leaves the 8 printed digits of the date readable."
content: hand signatures,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 draws one continuous vector stroke per signature (fixed seed 11 at v0.1.0, seeded by identity after T08). Only X2 carries real signatures. For this check, hand signatures leaves the street name tokens readable on both pieces."
content: hand signatures,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 draws one continuous vector stroke per signature (fixed seed 11 at v0.1.0, seeded by identity after T08). Only X2 carries real signatures. For this check, hand signatures leaves 999-99-9999 readable above 0.7214."
content: hand signatures,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 draws one continuous vector stroke per signature (fixed seed 11 at v0.1.0, seeded by identity after T08). Only X2 carries real signatures. For this check, hand signatures does not bias the height-based scale estimate by 1%."
content: hand signatures,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 draws one continuous vector stroke per signature (fixed seed 11 at v0.1.0, seeded by identity after T08). Only X2 carries real signatures. For this check, hand signatures does not shrink the registered frame extent."
content: hand signatures,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 draws one continuous vector stroke per signature (fixed seed 11 at v0.1.0, seeded by identity after T08). Only X2 carries real signatures. For this check, hand signatures does not change which quarter turn registers best."
